Region,Municipality,Year,GDP per capita (euro at current prices),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
05,TOTAL,2018,33256.0,3700000000,4715000000,175.1,20.8,364.3,485,152.6,71.6,88.5,85.1,225.6,148.3,380.1,230.2,545.7,150.3,8.3
05,TOTAL,2019,34667.5,3724000000,5261000000,181.4,9.9,391.9,519,156.8,81,88,80.5,227,156.5,392.4,244.1,559.3,162.6,8.7
05,TOTAL,2020,35522.7,3527000000,4871000000,183.1,6.8,395.4,496.6,155.6,66.1,104.1,83.6,223.4,167.2,421.4,244.8,577.1,166,9.4
05,TOTAL,2021,37967.0,4303000000,5927000000,189.3,7,370.4,527.7,149.9,69.5,100,88.4,226.8,195,460.8,260.1,617.4,171.6,8.5
05,TOTAL,2022,38841.6,4760000000,6985000000,204.7,6.9,349.9,531,167.9,84.9,98.4,115.8,242.7,220.8,439.9,273.1,657.3,177.4,8.2
06,TOTAL,2015,34608.1,1105000000,1697000000,304.9,31.2,984.9,1252.5,565.6,259.8,812.3,340.9,678.3,531.7,676.6,888.1,1738.5,436,24.4
06,TOTAL,2016,35947.5,1074000000,1670000000,324.6,33.1,1071.7,1263.4,586.1,261.9,891.3,361.8,698.8,527.1,677.5,1034.1,1803.1,452.5,21.9
06,TOTAL,2017,37247.0,1137000000,1818000000,346.4,24.6,1216.8,1314.1,619.4,297.5,1006,383.1,789.6,620.5,686.5,981,1830.4,455.5,22.2
06,TOTAL,2018,38781.9,1231000000,1946000000,352.0,26,1305.4,1374.9,610.9,291.7,1040.7,426.2,889,693.9,734.8,1018.5,1892.6,466.1,20.9
06,TOTAL,2019,39863.9,1217000000,1897000000,361.8,35.8,1300.4,1347.9,643.8,337.3,1065.4,427.6,943.9,721.4,727,1031.7,1971.6,477,18.2
06,TOTAL,2020,40148.2,1145000000,1648000000,359.1,30.3,1300.8,1461.5,648.4,250.7,1114.2,436.1,886.4,669.9,745.2,1056.5,2019.9,442.5,20.2
06,TOTAL,2021,41910.2,1218000000,2054000000,384.6,33.7,1293.2,1455.9,658.2,250.5,1254.9,500.8,1015,712.8,807.5,1115.7,2167.9,470.9,18.2
06,TOTAL,2022,44133.8,1382000000,2378000000,437.4,21.4,1392.2,1597.8,743.6,344.6,1356.3,642.5,1163.2,788.6,868.9,1142.6,2251.8,528.1,16.9
07,TOTAL,2015,30755.5,898000000,4766000000,177.5,1.5,405.1,528.6,228.2,92.8,152.5,109.7,182.1,175.4,209.8,289.8,666.1,154.8,8.3
07,TOTAL,2016,31679.5,867000000,4661000000,196.6,3.9,442.8,528.9,223.6,97.9,166.2,92.8,170.5,184.9,211.4,277.1,678,162.7,8.1
07,TOTAL,2017,32139.8,2002000000,3387000000,186.9,4.7,485.2,528.1,208.5,102.6,166.1,93.7,194.9,205.4,203.3,245.8,653,166.2,8.3
